time,E,T,I,N
13.26,6.34597126798602,0.4177599948868766,0.0001899999999817,1.499797178321595
13.27,6.344386610110183,0.4133769056312172,0.0001899999999817,1.499798525622963
13.28,6.342433576743671,0.4090490480626311,0.0001899999999818,1.4997998639824537
13.29,6.340115278703021,0.4047768618901373,0.000189999999982,1.4998011934609177
13.3,6.337434992855463,0.4005607369723572,0.0001899999999821,1.4998025141188789
13.31,6.334396161292155,0.3964010145241465,0.0001899999999824,1.4998038260165387
13.32,6.331002379915998,0.3922979890600818,0.0001899999999826,1.4998051292137824
13.33,6.327257394460595,0.3882519098206256,0.000189999999983,1.4998064237701825
13.34,6.323165095349813,0.3842629822728423,0.0001899999999834,1.4998077097450029
13.35,6.318729511978605,0.3803313696412278,0.0001899999999838,1.4998089871972031
13.36,6.313954807706141,0.3764571945127409,0.0001899999999843,1.4998102561854458
13.37,6.308845276654814,0.3726405406167167,0.0001899999999849,1.499811516768096
13.38,6.303405334003469,0.3688814539655133,0.0001899999999856,1.49981276900323
13.39,6.29763951138501,0.3651799444794885,0.0001899999999863,1.4998140129486373
13.4,6.291552451255146,0.3615359874940554,0.0001899999999871,1.4998152486618266
13.41,6.285148901045775,0.357949525222247,0.000189999999988,1.4998164759340475
13.42,6.278433707677858,0.3544204684511266,0.0001899999999889,1.4998176950094568
13.43,6.27141181252339,0.3509486985232451,0.00018999999999,1.4998189059837632
13.44,6.264088244331394,0.3475340678045242,0.0001899999999911,1.4998201089110506
13.45,6.256468114005265,0.3441764014183517,0.0001899999999923,1.499821303845068
13.46,6.248556609008248,0.3408754986353957,0.0001899999999936,1.4998224908392346
13.47,6.240358987797321,0.3376311341935529,0.000189999999995,1.499823669946641
13.48,6.231880573917692,0.3344430600880561,0.0001899999999956,1.4998248412200548
13.49,6.223126750090556,0.3313110074378472,0.0001899999999959,1.4998260047119227
13.5,6.214102954044056,0.3282346863049429,0.0001899999999962,1.4998271604743745
13.51,6.204814672795478,0.3252137874957136,0.0001899999999965,1.4998283085592252
13.52,6.195267437521454,0.3222479837487444,0.0001899999999968,1.4998294490179809
13.53,6.185466818584657,0.3193369308478808,0.0001899999999971,1.49983058190184
13.54,6.175418420605193,0.3164802687411873,0.0001899999999974,1.4998317072616978
13.55,6.165127874232115,0.3136776245929938,0.0001899999999978,1.499832825148149
13.56,6.1546008342520295,0.3109286122315194,0.0001899999999981,1.4998339356114916
13.57,6.143842976009759,0.3082328326106416,0.0001899999999984,1.499835038701731
13.58,6.13285998993172,0.3055898754101583,0.0001899999999987,1.499836134468582
13.59,6.121657577289467,0.3029993199744049,0.0001899999999991,1.4998372229614734
13.6,6.11024144614776,0.300460736200222,0.0001899999999994,1.4998383042295504
13.61,6.098617306151885,0.2979736858037857,0.0001899999999997,1.4998393783216797
13.62,6.086790860344117,0.2955377245437787,0.00019,1.4998404452864502
13.63,6.074767808363242,0.2931524008331429,0.0001900000000004,1.4998415051721792
13.64,6.062553840678328,0.2908172572180094,0.0001900000000007,1.499842558026914
13.65,6.050154634784748,0.2885318312465837,0.000190000000001,1.4998436038984362
13.66,6.037575851964626,0.2862956561742078,0.0001900000000013,1.4998446428342649
13.67,6.024823134241517,0.2841082616233578,0.0001900000000016,1.4998456748816589
13.68,6.011902096965715,0.2819691753544689,0.0001900000000019,1.499846700087623
13.69,5.9988183272053615,0.2798779235729454,0.0001900000000022,1.4998477184989083
13.7,5.985577385198298,0.2778340304679574,0.0001900000000025,1.499848730162018
13.71,5.972184799241181,0.275837019419632,0.0001900000000028,1.4998497351232083
13.72,5.958646063217619,0.2738864135463638,0.0001900000000031,1.499850733428495
13.73,5.944966634308527,0.2719817362149034,0.0001900000000033,1.4998517251236538
13.74,5.931151930225505,0.2701225116369159,0.0001900000000036,1.4998527102542256
13.75,5.917207322104942,0.2683082662742859,0.0001900000000038,1.4998536887768896
13.76,5.903138138717728,0.2665385281281814,0.000190000000004,1.499854660682601
13.77,5.888949663577158,0.2648128273541417,0.0001900000000042,1.499855626131625
13.78,5.874647132417482,0.2631306968072832,0.0001900000000044,1.4998565851669643
13.79,5.860235731592727,0.2614916724154332,0.0001900000000046,1.4998575378313517
13.8,5.845720596631957,0.2598952935234307,0.0001900000000048,1.499858484167251
13.81,5.831106808900506,0.258341103528519,0.0001900000000049,1.4998594242168612
13.82,5.816399392873668,0.2568286504167972,0.000190000000005,1.4998603580221184
13.83,5.801603319460902,0.2553574863539963,0.0001900000000051,1.4998612856246976
13.84,5.786723502863238,0.2539271682811338,0.0001900000000052,1.4998622070660173
13.85,5.7717647995345445,0.2525372581802783,0.0001900000000053,1.4998631223872405
13.86,5.756732007306026,0.2511873233132222,0.0001900000000053,1.4998640316292788
13.87,5.741629864510214,0.2498769364514547,0.0001900000000053,1.499864934832794
13.88,5.726463046687064,0.2486056763259013,0.0001900000000053,1.4998658320382
13.89,5.7112361683226185,0.2473731275943534,0.0001900000000052,1.4998667232856686
13.9,5.695953782629595,0.2461788809863201,0.0001900000000051,1.4998676086151284
13.91,5.680620380387929,0.2450225335297962,0.000190000000005,1.4998684880662698
13.92,5.665240389543901,0.2439036887002808,0.0001900000000048,1.4998693616785477
13.93,5.649818174899251,0.2428219565555957,0.0001900000000047,1.499870229491182
13.94,5.634358037451141,0.2417769538712568,0.0001900000000044,1.4998710915431637
13.95,5.618864213166652,0.2407683042839889,0.0001900000000042,1.499871947873254
13.96,5.603340874684052,0.239795638331774,0.0001900000000038,1.49987279851999
13.97,5.587792130594697,0.2388585935629051,0.0001900000000035,1.499873643521685
13.98,5.572222025356096,0.2379568146166355,0.0001900000000031,1.499874482916433
13.99,5.5566345393387735,0.2370899532920451,0.0001900000000027,1.49987531674211
14.0,5.541033588929525,0.236257668607186,0.0001900000000026,1.4998761450363778
14.01,5.525423026217051,0.2354596267175249,0.0001900000000027,1.4998769678366852
14.02,5.509806639493601,0.2346955010401037,0.0001900000000027,1.499877785180273
14.03,5.494188153806311,0.2339649723707142,0.0001900000000028,1.499878597104174
14.04,5.478571231021461,0.2332677288455599,0.0001900000000028,1.4998794036452172
14.05,5.4629594701585,0.232603465960531,0.0001900000000029,1.4998802048400308
14.06,5.447356407763828,0.2319718865853245,0.0001900000000029,1.4998810007250438
14.07,5.431765518321331,0.2313727009731043,0.000190000000003,1.4998817913364897
14.08,5.416190214696442,0.2308056267653885,0.000190000000003,1.4998825767104071
14.09,5.400633848519801,0.2302703885827209,0.000190000000003,1.499883356882646
14.1,5.385099710731325,0.2297667182113242,0.000190000000003,1.4998841317476648
14.11,5.369591032179756,0.2292943549268304,0.0001900000000031,1.4998849014610476
14.12,5.354110984116279,0.2288530452409851,0.0001900000000031,1.4998856660605775
14.13,5.338662678756785,0.2284425428731387,0.0001900000000031,1.4998864255802744
14.14,5.3232491698592845,0.2280626087196233,0.0001900000000031,1.499887180053946
14.15,5.307873453313517,0.227713010821605,0.0001900000000031,1.4998879295151897
14.16,5.292538467739891,0.2273935243319245,0.0001900000000031,1.499888673997395
14.17,5.277247096457222,0.2271039310242084,0.0001900000000031,1.4998894135337462
14.18,5.262002167711025,0.2268440193870901,0.000190000000003,1.4998901481572235
14.19,5.246806453874985,0.2266135850639198,0.000190000000003,1.4998908779006064
14.2,5.231662673023711,0.2264124304969809,0.000190000000003,1.4998916027964748
14.21,5.216573489624697,0.2262403648673366,0.0001900000000029,1.4998923228772116
14.22,5.201541515230286,0.2260972040342235,0.0001900000000029,1.499893038175005
14.23,5.186569309167075,0.2259827704744493,0.0001900000000028,1.499893748721851
14.24,5.171659379220075,0.225896893222249,0.0001900000000028,1.4998944545495554
14.25,5.156814183940696,0.2258394073809062,0.0001900000000027,1.4998951556897344
14.26,5.142036133201676,0.2258101540940593,0.0001900000000027,1.4998958521738197
14.27,5.127327586679716,0.2258089810604284,0.0001900000000026,1.4998965440330585
14.28,5.112690855851888,0.2258357421225077,0.0001900000000025,1.499897231298516
14.29,5.098128204737124,0.2258902971832275,0.0001900000000024,1.4998979140010789
14.3,5.083641850627315,0.2259725121230077,0.0001900000000024,1.499898592171456
14.31,5.069233964807178,0.2260822587171999,0.0001900000000023,1.499899265840181
14.32,5.054906673260743,0.2262194145542404,0.0001900000000022,1.4998999350376152
14.33,5.040662058910558,0.2263838626353214,0.0001900000000021,1.4999005997939483
14.34,5.026502162552685,0.2265754912409371,0.000190000000002,1.4999012601392028
14.35,5.012428980941424,0.2267941943832579,0.0001900000000018,1.4999019161032334
14.36,4.998444468912391,0.2270398714225729,0.0001900000000017,1.4999025677157312
14.37,4.984550540125126,0.2273124269659905,0.0001900000000016,1.499903215006226
14.38,4.97074906778428,0.2276117707678196,0.0001900000000015,1.4999038580040869
14.39,4.957041885345527,0.2279378176302289,0.0001900000000013,1.4999044967385256
14.4,4.943430787204703,0.2282904873043934,0.0001900000000012,1.499905131238599
14.41,4.929917530556675,0.2286697041579725,0.000190000000001,1.49990576153321
14.42,4.916503836563363,0.229075396975828,0.0001900000000009,1.499906387651111
14.43,4.903191388580537,0.2295074993377837,0.0001900000000007,1.4999070096209053
14.44,4.889981834069313,0.2299659492663187,0.0001900000000006,1.4999076274096503
14.45,4.876876785301931,0.2304506891087559,0.0001900000000004,1.4999082410421924
14.46,4.863877820035039,0.2309616654224238,0.0001900000000002,1.4999088505967402
14.47,4.850986482166086,0.2314988288595994,0.0001900000000001,1.499909456100442
14.48,4.8382042823718105,0.2320621340523473,0.0001899999999999,1.4999100575802804
14.49,4.825532699601788,0.2326515393435837,0.0001899999999997,1.499910655063073
14.5,4.81297318232166,0.2332670065587641,0.0001899999999995,1.4999112485754744
14.51,4.800527146972365,0.2339085012638533,0.0001899999999993,1.499911838143979
14.52,4.78819597960894,0.2345759924603466,0.0001899999999992,1.4999124237949224
14.53,4.775981036545967,0.2352694524513993,0.000189999999999,1.4999130055544811
14.54,4.763883644961208,0.2359888567115791,0.0001899999999989,1.4999135834486776
14.55,4.751905103482437,0.236734183755763,0.0001899999999987,1.4999141575033803
14.56,4.74004668275677,0.2375054150072291,0.0001899999999986,1.4999147277443052
14.57,4.728309626573547,0.2383025345677401,0.0001899999999984,1.4999152941970186
14.58,4.716695153014023,0.2391255289791356,0.0001899999999983,1.499915856886938
