,E,T,N
41.89,0.8333333333328136,5.701358190780432e-12,1.500000000221752
41.9,0.8333333333328576,4.882487684995007e-12,1.500000000220337
41.910000000000004,0.833333333332902,4.057658928092751e-12,1.5000000002189178
41.92,0.8333333333329468,3.2268574182857507e-12,1.5000000002174938
41.93,0.8333333333329919,2.390068653784338e-12,1.5000000002160652
41.94,0.8333333333330235,1.789031073889213e-12,1.5000000002148084
41.95,0.8333333333330224,1.766036155795418e-12,1.5000000002139735
41.96,0.8333333333330213,1.7430822080445505e-12,1.5000000002131384
41.97,0.8333333333330202,1.7201696019871373e-12,1.500000000212303
41.980000000000004,0.833333333333019,1.697298708973718e-12,1.5000000002114677
41.99,0.8333333333330178,1.6744699003548726e-12,1.5000000002106322
42.0,0.8333333333330167,1.6516835474811352e-12,1.5000000002097966
42.01,0.8333333333330156,1.6289400217030557e-12,1.5000000002089608
42.02,0.8333333333330145,1.6062396943711689e-12,1.500000000208125
42.03,0.8333333333330134,1.5835829368360556e-12,1.500000000207289
42.04,0.8333333333330123,1.5609701204482503e-12,1.500000000206453
42.050000000000004,0.8333333333330112,1.5384016165582894e-12,1.500000000205617
42.06,0.8333333333330101,1.5158777965167488e-12,1.500000000204781
42.07,0.833333333333009,1.4933990316741713e-12,1.5000000002039449
42.08,0.8333333333330079,1.4709656933811001e-12,1.5000000002031086
42.09,0.8333333333330069,1.448578152988069e-12,1.5000000002022726
42.1,0.8333333333330057,1.426236781845666e-12,1.5000000002014364
42.11,0.8333333333330046,1.4039419513044179e-12,1.5000000002006002
42.12,0.8333333333330035,1.3816940327148796e-12,1.5000000001997642
42.13,0.8333333333330025,1.3594933974275847e-12,1.500000000198928
42.14,0.8333333333330014,1.337340416793113e-12,1.500000000198092
42.15,0.8333333333330003,1.3152354621619981e-12,1.500000000197256
42.160000000000004,0.8333333333329993,1.2931789048847797e-12,1.50000000019642
42.17,0.8333333333329982,1.271171116312033e-12,1.5000000001955842
42.18,0.8333333333329972,1.2492124677942945e-12,1.5000000001947484
42.19,0.8333333333329961,1.2273033306821176e-12,1.5000000001939129
42.2,0.8333333333329951,1.2054440763260284e-12,1.5000000001930773
42.21,0.833333333332994,1.1836350760766184e-12,1.5000000001922418
42.22,0.833333333332993,1.1618767012844134e-12,1.5000000001914067
42.230000000000004,0.833333333332992,1.1401693232999528e-12,1.5000000001905716
42.24,0.8333333333329909,1.1185133134738165e-12,1.5000000001897364
42.25,0.8333333333329899,1.0969090431565384e-12,1.5000000001889018
42.26,0.8333333333329889,1.075356883698669e-12,1.5000000001880671
42.27,0.8333333333329879,1.0538572064507427e-12,1.5000000001872327
42.28,0.8333333333329868,1.0324103827633403e-12,1.5000000001863987
42.29,0.8333333333329858,1.0110167839869965e-12,1.5000000001855647
42.300000000000004,0.8333333333329848,9.896767814722475e-13,1.500000000184731
42.31,0.8333333333329838,9.683907465696708e-13,1.5000000001838973
42.32,0.8333333333329828,9.471590506298044e-13,1.5000000001830642
42.33,0.8333333333329818,9.259820650031948e-13,1.5000000001822311
42.34,0.8333333333329808,9.048601610403806e-13,1.5000000001813985
42.35,0.8333333333329798,8.837937100919384e-13,1.500000000180566
42.36,0.8333333333329788,8.627830835084079e-13,1.500000000179734
42.37,0.8333333333329778,8.418286526403347e-13,1.5000000001789022
42.38,0.8333333333329769,8.209307888382539e-13,1.500000000178071
42.39,0.8333333333329759,8.000898634527496e-13,1.5000000001772396
42.4,0.8333333333329749,7.793062478343511e-13,1.5000000001764089
42.410000000000004,0.8333333333329739,7.585803133335984e-13,1.5000000001755784
42.42,0.833333333332973,7.379124313010689e-13,1.5000000001747484
42.43,0.833333333332972,7.173029730872982e-13,1.5000000001739189
42.44,0.8333333333329711,6.967523100428364e-13,1.5000000001730895
42.45,0.8333333333329701,6.762608135182206e-13,1.5000000001722607
42.46,0.8333333333329692,6.558288548640267e-13,1.5000000001714322
42.47,0.8333333333329682,6.354568054307928e-13,1.5000000001706042
42.480000000000004,0.8333333333329673,6.15145036569054e-13,1.5000000001697766
42.49,0.8333333333329663,5.948939196293865e-13,1.5000000001689495
42.5,0.8333333333329654,5.747038259623295e-13,1.500000000168123
42.51,0.8333333333329646,5.545751269184315e-13,1.5000000001672968
42.52,0.8333333333329636,5.345081938482273e-13,1.500000000166471
42.53,0.8333333333329627,5.145033981022987e-13,1.500000000165646
42.54,0.8333333333329618,4.945611110311775e-13,1.5000000001648213
42.550000000000004,0.8333333333329609,4.746817039854021e-13,1.5000000001639973
42.56,0.83333333333296,4.548655483155491e-13,1.5000000001631735
42.57,0.8333333333329591,4.3511301537215524e-13,1.5000000001623506
