,E,T
3.24,4.857649242623957,6.863084150310242
3.25,4.891557268041322,6.798436768611518
3.2600000000000002,4.92600901831205,6.733228952127347
3.27,4.961013035523668,6.667464374678606
3.2800000000000002,4.996577879557162,6.601147159268616
3.29,5.032712118054285,6.534281898269047
3.3000000000000003,5.06942431592594,6.466873674226226
3.31,5.106723024135378,6.398928081181714
3.3200000000000003,5.144616757923461,6.330451238676158
3.33,5.183113973875391,6.26144980597019
3.34,5.222223072459213,6.1919310177770255
3.35,5.261952373579112,6.121902699605638
3.36,5.302310100175341,6.051373290549058
3.37,5.343304366284346,5.980351870373542
3.38,5.384943149059957,5.908848176154923
3.39,5.427234270658464,5.836872627094384
3.4,5.470185374980667,5.764436346056132
3.41,5.513803876860109,5.691551155081135
3.42,5.558096958825178,5.6182296197304975
3.43,5.603071543376005,5.544485070346857
3.44,5.648734259287703,5.470331618747698
3.45,5.6950913975544575,5.3957841691134085
3.46,5.74214888193095,5.320858440897776
3.47,5.789912240319121,5.245570993392299
3.48,5.838386563350873,5.16993924165323
3.49,5.887576453539852,5.093981460176096
3.5,5.9374859727349305,5.017716786260249
3.5100000000000002,5.988118619112666,4.941165262761565
3.52,6.039477271262735,4.8643478408731236
3.5300000000000002,6.09156413340597,4.787286384015575
3.54,6.144380663555902,4.710003645933868
3.5500000000000003,6.197927542024846,4.632523318491619
3.56,6.25220460686499,4.554870027098874
3.5700000000000003,6.307210790742207,4.477069329816504
3.58,6.362944040772339,4.399147676602169
3.59,6.41940126584609,4.321132443275237
3.6,6.47657826707264,4.243051927081685
3.61,6.534469663054023,4.1649353333191845
3.62,6.593068809435458,4.086812722160771
3.63,6.652367722896032,4.008715008427705
3.64,6.7123570034221505,3.930673965965953
3.65,6.773025749208753,3.8527221922279966
3.66,6.834361477953017,3.7748930560024347
3.67,6.8963500453367015,3.6972206432162027
3.68,6.958975542280598,3.6197397714469757
3.69,7.022220208389616,3.542485929625424
3.7,7.0860643497724425,3.465495222029782
3.71,7.150486286432502,3.3888042762227775
3.72,7.215462207213558,3.3124502399763336
3.73,7.280966088870928,3.2364707064929665
3.74,7.346969610814241,3.1609036441751086
3.75,7.4134421567931055,3.0857872939835764
3.7600000000000002,7.480350643711034,3.011160120581714
3.77,7.547659433607496,2.9370607306335916
3.7800000000000002,7.615330260585884,2.863527781782416
3.79,7.683322253429244,2.790599888843845
3.8000000000000003,7.751591859306918,2.718315527936227
3.81,7.820092731237494,2.646712936927518
3.8200000000000003,7.888775715570532,2.5758300179380913
3.83,7.957588825453776,2.5057042439668957
3.84,8.026477183475773,2.4363725301137906
3.85,8.095383019459524,2.3678711302750366
3.86,8.164245795971881,2.300235551546383
3.87,8.23300210819046,2.2335004151129065
3.88,8.301585722873021,2.167699342277734
3.89,8.369927721325347,2.102864877167307
3.9,8.437956537142293,2.0390283604566153
3.91,8.505598003846409,1.9762198000211486
3.92,8.572775533194395,1.9144677933652883
3.93,8.63941030868523,1.8537994506619824
3.94,8.705421340091394,1.7942402417008967
3.95,8.770725688626905,1.7358139212616213
3.96,8.83523875630167,1.67854249431543
3.97,8.898874469886792,1.6224460962104201
3.98,8.961545547397892,1.5675429264629384
3.99,9.023163775555899,1.513849186453373
4.0,9.083640333512458,1.4613790150146042
4.01,9.142886127079398,1.4101444697866838
4.0200000000000005,9.200812145928754,1.3601554904474935
4.03,9.25732983578605,1.3114198552551894
4.04,9.312351446663131,1.2639431853977028
4.05,9.365790468903404,1.2177289315756994
4.0600000000000005,9.417562038065926,1.172778381708566
4.07,9.467583287078519,1.1290906915465277
4.08,9.515773846200876,1.0866629015207523
4.09,9.562056192915575,1.0454899813445702
4.1,9.606356031289275,1.0055648824485446
4.11,9.648602783382392,0.9668785964938295
4.12,9.688729838645303,0.9294202205316711
4.13,9.726674976664457,0.893177039281549
4.14,9.762380741571308,0.8581346136435934
4.15,9.795794601744438,0.8242768597190115
4.16,9.826869361739114,0.7915861646119288
4.17,9.855563355752905,0.760043484621171
4.18,9.88184055728392,0.7296284401399215
4.19,9.905670876582368,0.7003194547681337
4.2,9.927030172449639,0.672093846097752
4.21,9.945900333540497,0.6449279466033948
4.22,9.962269365081292,0.6187972388964501
4.23,9.976131295670072,0.5936764396182646
4.24,9.987486158128599,0.5695396392116002
4.25,9.996339891490294,0.5463604157676868
4.26,10.002704184299374,0.524111918091343
4.2700000000000005,10.0065962954564,0.5027670057973496
4.28,10.008038858920536,0.4822983344254684
4.29,10.007059647652001,0.4626784457423063
4.3,10.003691254375529,0.44387988354226815
4.3100000000000005,9.997970879271502,0.42587525811717875
4.32,9.989939969898606,0.40863733701852745
4.33,9.979643862111436,0.39213912690370545
4.34,9.967131559332291,0.37635392733597717
4.3500000000000005,9.95245526691254,0.36125540632813574
4.36,9.935670081152393,0.3468176544365656
4.37,9.916833724455916,0.3330152302083451
