,E,T,I
27.82,5.947309140781626,6.580315526871263e-14,0.00018999999999933027
27.830000000000002,5.947404693053193,6.600845257584863e-14,0.00018999999999933388
27.84,5.947500086333237,6.603919923454931e-14,0.0001899999999993369
27.85,5.9475953208867365,6.58851372205568e-14,0.00018999999999933935
27.86,5.947690396978235,6.553574173967213e-14,0.00018999999999934111
27.87,5.947785314871846,6.49802183981802e-14,0.00018999999999934217
27.88,5.947880074831249,6.420750037327599e-14,0.00018999999999934244
27.89,5.947974677119694,6.320624558348861e-14,0.00018999999999934187
27.900000000000002,5.9480691220000015,6.19648338591081e-14,0.0001899999999993404
27.91,5.94816340973456,6.047136411261051e-14,0.00018999999999933797
27.92,5.948257540585333,5.871365150908137e-14,0.0001899999999993345
27.93,5.948351514813854,5.667922463664486e-14,0.00018999999999932992
27.94,5.948445332681232,5.4355322676884187e-14,0.0001899999999993242
27.95,5.948538994448149,5.1728892575272834e-14,0.00018999999999931723
27.96,5.948632500374861,4.8786586211593253e-14,0.00018999999999930894
27.97,5.9487258507212,4.5514757570369704e-14,0.0001899999999992993
27.98,5.948819045746575,4.1899459911285156e-14,0.00018999999999928818
27.990000000000002,5.948912085709974,3.792644293961482e-14,0.00018999999999927552
28.0,5.949004970869961,3.3581149976648204e-14,0.00018999999999926124
28.01,5.949097701484679,2.8848715130109526e-14,0.00018999999999924527
28.02,5.949190277811853,2.371396046459414e-14,0.0001899999999992275
28.03,5.949282700108786,1.8161393171980453e-14,0.00018999999999920787
28.04,5.949374968632364,1.217520274186991e-14,0.0001899999999991863
28.05,5.949467083639056,5.739258131996552e-15,0.00018999999999916265
28.060000000000002,5.949559045384912,-1.1628950613330717e-15,0.0001899999999991369
28.07,5.949650854125568,-8.548037432820279e-15,0.0001899999999991089
28.080000000000002,5.949742510116243,-1.6433278597757384e-14,0.00018999999999907857
28.09,5.949834013611744,-2.4836060021583576e-14,0.00018999999999904583
28.1,5.949925364866462,-3.3774157849481944e-14,0.00018999999999901057
28.11,5.950016564134377,-4.32656857359303e-14,0.00018999999999897267
28.12,5.950107611669056,-5.332909767430114e-14,0.00018999999999893204
28.13,5.950198507723655,-6.398319082640932e-14,0.0001899999999988886
28.14,5.950289252550921,-7.524710835211533e-14,0.0001899999999988422
28.150000000000002,5.95037984640319,-8.714034223887387e-14,0.00018999999999879275
28.16,5.950470289532389,-9.968273613131896e-14,0.0001899999999987401
28.17,5.9505605821900405,-1.1289448816085281e-13,0.00018999999999868422
28.18,5.9506507246272555,-1.2679615377518883e-13,0.00018999999999862494
28.19,5.95074071699181,-1.3568920025442674e-13,0.00018999999999859085
28.2,5.950830559534382,-1.3961590186036628e-13,0.00018999999999858177
28.21,5.9509202525896265,-1.4330733006160056e-13,0.0001899999999985739
28.22,5.951009796406254,-1.4674216923594506e-13,0.00018999999999856735
28.23,5.951099191232559,-1.4989844573521136e-13,0.00018999999999856217
28.240000000000002,5.951188437316413,-1.527535200599498e-13,0.00018999999999855848
28.25,5.951277534905265,-1.5528407903420867e-13,0.0001899999999985564
28.26,5.95136648424615,-1.5746612798029037e-13,0.00018999999999855602
28.27,5.95145528558568,-1.5927498289350068e-13,0.00018999999999855743
28.28,5.951543939170049,-1.606852626169066e-13,0.00018999999999856073
28.29,5.951632445245035,-1.6167088101608788e-13,0.0001899999999985661
28.3,5.951720804055999,-1.6220503915389325e-13,0.00018999999999857358
28.310000000000002,5.951809015847882,-1.622602174651923e-13,0.00018999999999858334
28.32,5.951897080865216,-1.6180816793163186e-13,0.00018999999999859548
28.330000000000002,5.951984999352111,-1.608199062563877e-13,0.00018999999999861012
28.34,5.952072771552267,-1.5926570403892131e-13,0.0001899999999986274
28.35,5.952160397708969,-1.5711508094973054e-13,0.00018999999999864744
28.36,5.952247878065089,-1.5433679690510848e-13,0.0001899999999986704
28.37,5.952335212863085,-1.5089884424189068e-13,0.0001899999999986964
28.38,5.952422402345005,-1.4676843989221794e-13,0.00018999999999872559
28.39,5.952509446752484,-1.4191201755828053e-13,0.00018999999999875808
28.400000000000002,5.9525963463267475,-1.3629521988708112e-13,0.00018999999999879408
28.41,5.952683101308612,-1.2988289064518666e-13,0.0001899999999988337
28.42,5.9527697119384815,-1.2263906689347403e-13,0.0001899999999988771
28.43,5.952856178456353,-1.1452697116190012e-13,0.00018999999999892445
28.44,5.952942501101817,-1.0550900362423687e-13,0.00018999999999897593
28.45,5.953028680114054,-9.554673427284639e-14,0.00018999999999903166
28.46,5.953114715731838,-8.460089509341136e-14,0.00018999999999909183
28.47,5.953200608193538,-7.263137223971602e-14,0.00018999999999915664
28.48,5.953286357737116,-5.959719820836967e-14,0.00018999999999922624
28.490000000000002,5.95337196460013,-4.545654401358992e-14,0.00018999999999930084
28.5,5.953457429019733,-3.016671136194486e-14,0.00018999999999938058
28.51,5.953542751232675,-1.3684124827089976e-14,0.0001899999999994657
28.52,5.953627931475302,4.035675975439286e-15,0.00018999999999955633
28.53,5.953712969983559,2.3038044213519726e-14,0.00018999999999965274
28.54,5.9537978669929865,4.33692336636368e-14,0.0001899999999997551
28.55,5.9538826227387265,6.50764065361837e-14,0.0001899999999998636
28.560000000000002,5.95396723745552,8.820764130065847e-14,0.00018999999999997843
28.57,5.954051711377706,1.1281194051092911e-13,0.00019000000000009987
28.580000000000002,5.954136044739227,1.3893923863050803e-13,0.0001900000000002281
28.59,5.954220237773625,1.6664040985773546e-13,0.00019000000000036333
28.6,5.954304290714044,1.9596727595109967e-13,0.0001900000000005058
28.61,5.954388203793233,2.2697261405440405e-13,0.00019000000000065574
28.62,5.954471977243539,2.5971016452209663e-13,0.00019000000000081338
28.63,5.95455561129692,2.942346387444276e-13,0.00019000000000097896
28.64,5.954639106184931,3.306017269727884e-13,0.00019000000000115273
28.650000000000002,5.954722462138738,3.6886810614487363e-13,0.00019000000000133493
28.66,5.954805679421145,3.945623272454545e-13,0.00019000000000146412
28.67,5.954888758267927,4.0529291178080326e-13,0.00019000000000153012
28.68,5.954971698877661,4.153646181863271e-13,0.00019000000000159373
28.69,5.955054501480202,4.247182624867803e-13,0.00019000000000165467
28.7,5.955137166305019,4.3329283638123225e-13,0.00019000000000171272
28.71,5.955219693581197,4.4102548555726436e-13,0.00019000000000176759
28.72,5.955302083537436,4.4785148800512766e-13,0.00019000000000181903
28.73,5.955384336402054,4.537042323319369e-13,0.00019000000000186674
28.740000000000002,5.955466452402985,4.585151960758303e-13,0.00019000000000191046
28.75,5.955548431767781,4.622139240201554e-13,0.00019000000000194992
28.76,5.955630274723615,4.647280065076456e-13,0.00019000000000198475
28.77,5.955711981497276,4.659830577545886e-13,0.00019000000000201473
28.78,5.955793552315176,4.659026941650122e-13,0.00019000000000203948
28.79,5.955874987403346,4.644085126448525e-13,0.0001900000000020587
28.8,5.9559562869874405,4.614200689161327e-13,0.00019000000000207206
28.810000000000002,5.956037451292733,4.568548558311413e-13,0.00019000000000207918
28.82,5.956118480544124,4.5062828168660787e-13,0.00019000000000207978
28.830000000000002,5.956199374966133,4.4265364853787186e-13,0.00019000000000207347
28.84,5.956280134782908,4.328421305130744e-13,0.00019000000000205986
28.85,5.956360760218219,4.211027521273113e-13,0.00019000000000203858
28.86,5.956441251495464,4.073423665968385e-13,0.00019000000000200925
28.87,5.956521608837666,3.9146563415321376e-13,0.0001900000000019715
28.88,5.956601832467475,3.733750003575122e-13,0.0001900000000019249
28.89,5.956681922607171,3.5297067441445735e-13,0.00019000000000186904
28.900000000000002,5.956761879478657,3.301506074866406e-13,0.0001900000000018035
28.91,5.956841703303472,3.0481047100867993e-13,0.00019000000000172785
28.92,5.956921394302781,2.768436350013686e-13,0.00019000000000164166
28.93,5.9570009526973795,2.4614114638591306e-13,0.00019000000000154446
28.94,5.957080378707696,2.1259170729803156e-13,0.00019000000000143577
28.95,5.9571596725537885,1.7608165340221722e-13,0.00019000000000131517
28.96,5.95723883445535,1.3649493220581868e-13,0.00019000000000118214
28.97,5.957317864631707,9.371308137331915e-14,0.0001900000000010362
28.98,5.957396763301817,4.761520704040158e-14,0.00019000000000087686
28.990000000000002,5.957475530684277,-1.9220378717730757e-15,0.0001900000000007036
29.0,5.957554166997314,-5.502447534242941e-14,0.0001900000000005159
29.01,5.957632672458795,-1.1182042393706329e-13,0.0001900000000003132
29.02,5.957711047286222,-1.724407204931308e-13,0.00019000000000009504
29.03,5.957789291696736,-2.370187418060335e-13,0.00018999999999986077
29.04,5.957867405907116,-3.056904263147701e-13,0.0001899999999996099
29.05,5.957945390133778,-3.785942957879436e-13,0.0001899999999993418
29.060000000000002,5.95802324459278,-4.558714770094187e-13,0.0001899999999990559
29.07,5.958100969499818,-5.376657234642111e-13,0.00018999999999875163
29.080000000000002,5.958178565070232,-6.241234370244066e-13,0.00018999999999842835
29.09,5.958256031519,-7.153936896347765e-13,0.00018999999999808547
29.1,5.958333369060747,-8.116282449988476e-13,0.00018999999999772237
